locus_tag	ftype	length_bp	gene	EC_number	COG	product
COOAFFBM_00001	CDS	711	nlpE		COG3015	Lipoprotein NlpE
COOAFFBM_00002	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
COOAFFBM_00003	CDS	546	yaeQ		COG4681	putative protein YaeQ
COOAFFBM_00004	CDS	201				hypothetical protein
COOAFFBM_00005	CDS	261	rof		COG4568	Protein rof
COOAFFBM_00006	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
COOAFFBM_00007	CDS	390				hypothetical protein
COOAFFBM_00008	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
COOAFFBM_00009	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
COOAFFBM_00010	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
COOAFFBM_00011	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
COOAFFBM_00012	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
COOAFFBM_00013	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
COOAFFBM_00014	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
COOAFFBM_00015	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
COOAFFBM_00016	CDS	486	skp		COG2825	Chaperone protein Skp
COOAFFBM_00017	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
COOAFFBM_00018	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
COOAFFBM_00019	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
COOAFFBM_00020	CDS	153				hypothetical protein
COOAFFBM_00021	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
COOAFFBM_00022	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
COOAFFBM_00023	CDS	558	frr		COG0233	Ribosome-recycling factor
COOAFFBM_00024	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
COOAFFBM_00025	CDS	852	tsf		COG0264	Elongation factor Ts
COOAFFBM_00026	CDS	726	rpsB		COG0052	30S ribosomal protein S2
COOAFFBM_00027	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
COOAFFBM_00028	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
COOAFFBM_00029	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
COOAFFBM_00030	CDS	387				hypothetical protein
COOAFFBM_00031	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
COOAFFBM_00032	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
COOAFFBM_00033	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
COOAFFBM_00034	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
